ID,Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Jenjang Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income
478,1992,Swasta,37210,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,45,United-States,2,>50K
479,1981,Swasta,101950,Magister,Magister,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,45,United-States,0,<=50K
480,2004,,122244,SMA Grad,SMA Grad,Belum-menikah,,Tidak dalam Keluarga,1,Female,0,0,28,United-States,0,<=50K
481,1984,Pemerintah daerah,24763,Diploma,Kuliah,Cerai,Transportasi dan Pengangkutan,Belum Menikah,1,Male,6849,0,40,United-States,0,<=50K
482,2000,Swasta,113936,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Punya Anak,1,Male,0,0,40,United-States,0,<=50K
483,1973,Swasta,237630,SMA Grad,SMA Grad,Menikah,Dukungan Teknis,Suami,1,Male,7298,0,50,United-States,1,>50K
484,1980,Swasta,310255,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,60,United-States,1,>50K
485,1971,Swasta,121441,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,0,55,United-States,0,<=50K
486,1980,Pengusaha berbadan hukum,191712,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,2415,55,United-States,2,>50K
487,1996,,149646,Diploma,Kuliah,Cerai,,Punya Anak,1,Female,0,0,20,?,0,<=50K
488,1992,Swasta,113364,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,>50K
489,1973,Swasta,63424,Magister,Magister,Menikah,Spesialis Profesional,Istri,1,Female,0,0,40,United-States,2,>50K
490,1995,Swasta,175738,Sarjana,Sarjana,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Female,0,0,45,United-States,0,>50K
491,2002,Swasta,38251,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Layanan Lainnya,Belum Menikah,1,Female,0,0,35,United-States,0,<=50K
492,1964,,251572,SMA Grad,SMA Grad,Duda/Janda,,Tidak dalam Keluarga,1,Male,0,0,35,Poland,1,<=50K
493,1990,,317219,Diploma,Kuliah,Menikah,,Istri,1,Female,0,0,20,United-States,3,>50K
494,1970,Pemerintah daerah,186884,Diploma,Kuliah,Menikah,Transportasi dan Pengangkutan,Suami,2,Male,0,0,30,United-States,0,<=50K
495,2005,Swasta,414871,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,40,United-States,0,<=50K
496,1963,Swasta,86067,Asosiasi akademik,vokasi Grad_1,Menikah,Sales,Suami,1,Male,15024,0,40,United-States,3,>50K
497,1978,Swasta,148738,SMA Grad,SMA Grad,Menikah,Pengelola Kebersihan,Suami,1,Male,0,1740,35,United-States,2,<=50K
498,1961,Swasta,175777,kelas 10,SMA_1,Rencana Cerai,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,2,Male,0,0,40,United-States,2,<=50K
499,1990,Swasta,231238,kelas 9,SMP_2,Rencana Cerai,Pertanian dan Perikanan,Belum Menikah,2,Male,0,0,40,United-States,0,<=50K
500,1981,Pemerintah pusat,214541,Diploma,Kuliah,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,2,>50K
501,1979,Pengusaha perorangan,210364,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,15024,0,80,United-States,0,>50K
502,1989,Swasta,92028,Magister,Magister,Menikah,Eksekutif Manager,Suami,1,Male,0,0,50,United-States,1,>50K
503,1996,Swasta,161674,SMA Grad,SMA Grad,Belum-menikah,Inspeksi dan Operasi Mesin,Belum Menikah,1,Female,0,0,40,United-States,0,<=50K
504,1990,Swasta,29235,Asosiasi akademik,vokasi Grad_1,Cerai,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,3,<=50K
505,1973,Swasta,221672,Magister,Magister,Menikah,Sales,Suami,1,Male,15024,0,50,United-States,2,>50K
506,1969,Pemerintah daerah,107308,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,2,>50K
